workload_name,batch,input_width,input_height,input_channel,f1_kernel,f1_multiplier_or_output_channel,f1_stride,is_f1_depthwise,f1_bn_relu,f2_kernel,f2_multiplier_or_output_channel,f2_stride,is_f2_depthwise,f2_bn_relu,is_block
alex_2_3,1,55,55,96,3,256,2,0,,3,384,2,0,,0
alex_3_4,1,27,27,256,3,384,2,0,,3,384,2,0,,0
alex_4_5,1,13,13,384,3,384,1,0,,3,256,1,0,,0
vgg_3_4,1,112,112,128,3,128,1,0,,3,128,1,0,,0
vgg_5_6,1,56,56,256,3,256,1,0,,3,256,1,0,,0
vgg_8_9,1,28,28,512,3,128,1,0,,3,512,1,0,,0
vgg_11_12,1,14,14,512,3,128,1,0,,3,512,1,0,,0
rn1_1,1,56,56,64,3,64,1,0,'relu',3,64,1,0,'relu',1
mv1_1,1,112,112,32,3,1,1,1,,1,64,1,0,,0
mv1_2,1,112,112,64,3,1,2,1,,1,128,1,0,,0
mv1_3,1,56,56,128,3,1,1,1,,1,128,1,0,,0
mv1_4,1,56,56,128,3,1,2,1,,1,256,1,0,,0
mv1_5,1,28,28,256,3,1,1,1,,1,256,1,0,,0
mv1_6,1,28,28,256,3,1,2,1,,1,512,1,0,,0
mv1_7-11,1,14,14,512,3,1,1,1,,1,512,1,0,,0
mv1_12,1,14,14,512,3,1,2,1,,1,1024,1,0,,0
mv1_13,1,7,7,1024,3,1,1,1,,1,1024,1,0,,0
mv2_1,1,112,112,32,3,1,1,1,,1,16,1,0,,0
mv2_2,1,112,112,96,3,1,2,1,,1,24,1,0,,0
mv2_3,1,56,56,144,3,1,2,1,,1,32,1,0,,0
mv2_4,1,28,28,192,3,1,2,1,,1,64,1,0,,0
mv2_5,1,14,14,384,3,1,1,1,,1,96,1,0,,0
mv2_6,1,14,14,576,3,1,2,1,,1,160,1,0,,0
mv2_7,1,7,7,960,3,1,1,1,,1,320,1,0,,0
